序号,SoundType,SoundFile,事件类型备注,台词范例,Count,Weights,台词,ResFileName
1,advisor_sample_voice_type,advisor_generic_phrase,启用时的开场白,初次见面，我是……,1,100,代号阿米娅，本次航行日志将从第1024页续写,A1-0001_阿米娅mod配音.wav
2,advisor_sample_voice_type,advisor_generic_phrase,启用时的开场白,初次见面，我是……,2,1000,好久不见，我是阿米娅,A1-0002_阿米娅mod配音.wav
3,advisor_sample_voice_type,advisor_generic_phrase,启用时的开场白,初次见面，我是……,3,1000,你好，我是来自罗德岛的阿米娅,A1-0003_阿米娅mod配音.wav
4,advisor_notification_alien_empire_communication_01,advisor_notification_alien_empire_communication,与外星文明的初次联络,我们收到了外星文明发来的通讯,1,1000,通讯频段捕获陌生波形...最黑暗的深空也能诞生对话的火种,A1-0004_阿米娅mod配音.wav
5,advisor_notification_alien_empire_communication_01,advisor_notification_alien_empire_communication,与外星文明的初次联络,我们收到了外星文明发来的通讯,2,1000,接受到非碳基生命体的接触请求...我们需要启动翻译系统,A1-0005_阿米娅mod配音.wav
6,advisor_notification_alien_empire_communication_01,advisor_notification_alien_empire_communication,与外星文明的初次联络,我们收到了外星文明发来的通讯,3,1000,他们正在发送某种信号...要尝试建立联系吗？,A1-0006_阿米娅mod配音.wav
7,advisor_notification_alien_federation_formed,advisor_notification_alien_federation_formed,外星文明建立联邦,有外星文明建立了联邦,1,1000,有外星文明建立了联邦,A1-0007_阿米娅mod配音.wav
8,advisor_notification_alien_federation_formed,advisor_notification_alien_federation_formed,外星文明建立联邦,有外星文明建立了联邦,2,1000,外星文明建立了联邦，他们真团结呢,A1-0008_阿米娅mod配音.wav
9,advisor_notification_alien_federation_formed,advisor_notification_alien_federation_formed,外星文明建立联邦,有外星文明建立了联邦,3,1000,有外星文明建立了联邦,A1-0009_阿米娅mod配音.wav
10,advisor_notification_alien_spaceport_engaged,advisor_notification_alien_spaceport_engaged,与敌方空间站交战,我们正在与外星文明的空间站交火,1,1000,我们正在与外星文明的空间站交火,A1-0010_阿米娅mod配音.wav
11,advisor_notification_alien_spaceport_engaged,advisor_notification_alien_spaceport_engaged,与敌方空间站交战,我们正在与外星文明的空间站交火,2,1000,正在与外星空间站交火,A1-0011_阿米娅mod配音.wav
12,advisor_notification_alien_spaceport_engaged,advisor_notification_alien_spaceport_engaged,与敌方空间站交战,我们正在与外星文明的空间站交火,3,1000,正在攻击外星空间站,A1-0012_阿米娅mod配音.wav
13,advisor_notification_alien_vessel_encountered,advisor_notification_alien_vessel_encountered,遭遇其他势力的舰船,我们遭遇了其他文明的舰船,1,1000,我们遭遇了其他文明的舰船,A1-0013_阿米娅mod配音.wav
14,advisor_notification_alien_vessel_encountered,advisor_notification_alien_vessel_encountered,遭遇其他势力的舰船,我们遭遇了其他文明的舰船,2,1000,检测到不明舰船,A1-0014_阿米娅mod配音.wav
15,advisor_notification_alien_vessel_encountered,advisor_notification_alien_vessel_encountered,遭遇其他势力的舰船,我们遭遇了其他文明的舰船,3,1000,发现不明飞行物，雷达启动,A1-0015_阿米娅mod配音.wav
16,advisor_notification_building_ruined,advisor_notification_building_ruined,己方建筑被摧毁,抱歉……我们的一座建筑被摧毁了,1,1000,抱歉……我们的一座建筑被摧毁了,A1-0016_阿米娅mod配音.wav
17,advisor_notification_building_ruined,advisor_notification_building_ruined,己方建筑被摧毁,抱歉……我们的一座建筑被摧毁了,2,1000,一座建筑被摧毁了，正在计划维修,A1-0017_阿米娅mod配音.wav
18,advisor_notification_building_ruined,advisor_notification_building_ruined,己方建筑被摧毁,抱歉……我们的一座建筑被摧毁了,3,1000,一座建筑被摧毁，修好后，应该还能用,A1-0018_阿米娅mod配音.wav
19,advisor_notification_colonization_progress,advisor_notification_colonization_progress,开始建立殖民地,一个新的殖民地开始建设了,1,1000,大气改造装置启动…,A1-0019_阿米娅mod配音.wav
20,advisor_notification_colonization_progress,advisor_notification_colonization_progress,开始建立殖民地,一个新的殖民地开始建设了,2,1000,登陆舱成功着陆...检测到类源石矿物反应,A1-0020_阿米娅mod配音.wav
21,advisor_notification_colonization_progress,advisor_notification_colonization_progress,开始建立殖民地,一个新的殖民地开始建设了,3,1000,我们已经抵达了新的大地,A1-0021_阿米娅mod配音.wav
